
TreeSize Professional Report, 7/29/15  8:32 AM
  S:\Service\Radio Programs\   (\\REG1TRIFP01.tridon.local\Shared$\Service\Radio Programs\) (XML of 7/28/15)
 (XML of 7/28/15)Drive: S:\      Size: 1.4 TB      Used: 989.4 GB      Free: 444.1 GB         4096 Bytes per Cluster (NTFS)

Full Path      ,Size           ,Allocated      ,Files          ,Folders        ,% of Parent    ,Last Change    ,Last Access    ,Owner          
"S:\Service\Radio Programs\",25.6 GB,25.7 GB,18570 ,3665 ,100.0 %,7/28/15,7/28/15,"Administrators"
"S:\Service\Radio Programs\01 TEMP\",21.4 GB,21.5 GB,13546 ,2517 ,83.6 %,7/22/15,7/24/15,"Administrators"
"S:\Service\Radio Programs\01 TEMP\Matt\",6.0 GB,6.0 GB,10553 ,1761 ,28.1 %,12/14/14,12/31/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\David\",5.8 GB,5.8 GB,736 ,234 ,27.0 %,12/14/14,12/31/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\Cody\",2.5 GB,2.5 GB,973 ,208 ,11.5 %,1/22/15,1/22/15,"Administrators"
"S:\Service\Radio Programs\01 TEMP\DET\",1.5 GB,1.5 GB,171 ,19 ,7.2 %,7/16/15,7/16/15,"Administrators"
"S:\Service\Radio Programs\01 TEMP\Ying\",1.4 GB,1.4 GB,70 ,21 ,6.7 %,7/09/15,7/15/15,"Administrators"
"S:\Service\Radio Programs\01 TEMP\BRIAN\",669.8 MB,670.1 MB,165 ,25 ,3.0 %,12/14/14,12/31/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\Singh\",577.0 MB,577.1 MB,34 ,5 ,2.6 %,7/22/15,7/24/15,"Administrators"
"S:\Service\Radio Programs\01 TEMP\BRADFORD\",574.8 MB,575.0 MB,75 ,42 ,2.6 %,12/14/14,1/22/15,"Administrators"
"S:\Service\Radio Programs\01 TEMP\RAFIQ\",503.2 MB,503.3 MB,39 ,5 ,2.3 %,12/20/13,11/25/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\02 TEMP\",330.1 MB,330.2 MB,16 ,2 ,1.5 %,5/25/12,6/17/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\Peter\",299.9 MB,300.2 MB,147 ,34 ,1.4 %,5/12/15,5/12/15,"Administrators"
"S:\Service\Radio Programs\01 TEMP\RODNEY\",282.4 MB,282.4 MB,10 ,6 ,1.3 %,5/09/11,7/15/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\*.*",212.6 MB,212.7 MB,35 ,0 ,1.0 %,1/26/15,1/27/15,"(Multiple)"
"S:\Service\Radio Programs\01 TEMP\KARANBIR\",166.9 MB,167.0 MB,73 ,22 ,0.8 %,12/14/14,12/30/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\KASSAM\",157.6 MB,158.2 MB,192 ,25 ,0.7 %,12/14/14,12/31/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\Nelson\",142.3 MB,142.3 MB,2 ,0 ,0.6 %,12/17/14,12/23/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\ALEX\",106.3 MB,106.7 MB,121 ,44 ,0.5 %,12/14/14,12/31/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\Vikas\",94.1 MB,94.1 MB,7 ,2 ,0.4 %,4/27/15,7/13/15,"Administrators"
"S:\Service\Radio Programs\01 TEMP\Amine\",77.7 MB,77.9 MB,56 ,16 ,0.4 %,7/21/15,7/21/15,"Administrators"
"S:\Service\Radio Programs\01 TEMP\PATRICK\",51.2 MB,51.2 MB,1 ,0 ,0.2 %,8/23/11,11/25/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\Kenwood\",30.4 MB,30.4 MB,2 ,0 ,0.1 %,9/13/12,11/25/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\Jesse (Small Paul)\",20.2 MB,20.2 MB,11 ,10 ,0.1 %,12/14/14,12/31/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\00 TEMP\",6.4 MB,6.5 MB,10 ,0 ,0.0 %,6/03/15,6/04/15,"Administrators"
